"id","name","slug","image","createdAt","updatedAt"
18,"Breakfast","breakfast","http://localhost:5050/public/categories/breakfast.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
19,"Lunch","lunch","http://localhost:5050/public/categories/lunch.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
20,"Dinner","dinner","http://localhost:5050/public/categories/dinner.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
21,"Dessert","dessert","http://localhost:5050/public/categories/dessert.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
22,"Snacks","snacks","http://localhost:5050/public/categories/snacks.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
23,"Drinks","drinks","http://localhost:5050/public/categories/drinks.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
24,"Salads","salads","http://localhost:5050/public/categories/salads.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
25,"Soups","soups","http://localhost:5050/public/categories/soups.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
26,"Vegetarian","vegetarian","http://localhost:5050/public/categories/vegetarian.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
27,"Vegan","vegan","http://localhost:5050/public/categories/vegan.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
28,"Chicken","chicken","http://localhost:5050/public/categories/chicken.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
29,"Seafood","seafood","http://localhost:5050/public/categories/seafood.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
30,"Pasta","pasta","http://localhost:5050/public/categories/pasta.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
31,"Pizza","pizza","http://localhost:5050/public/categories/pizza.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
32,"Indian","indian","http://localhost:5050/public/categories/indian.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
33,"Chinese","chinese","http://localhost:5050/public/categories/chinese.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
34,"Italian","italian","http://localhost:5050/public/categories/italian.jpg","2026-07-31 04:25:37.831244","2026-07-31 04:25:37.831244"
